model,feature,regularization,C,auc_mean,auc_std,featureDiscarded_mean,featureDiscarded_std,time_mean,time_std,solver
LR,education,l1,1e-06,0.5,0.0,8.0,0.0,4.943633874257405,0.0564040251755559,liblinear
LR,education,l1,0.001,0.46210646401665434,0.0009968981267870925,3.0,0.0,16.510124683380127,3.005662055793144,liblinear
LR,education,l1,1.0,0.46078918614203235,0.0008729598537002443,0.0,0.0,5.7463226318359375,0.023922837596202135,liblinear
LR,education,l1,1000.0,0.46078918614203235,0.0008729598537002443,0.0,0.0,6.078411181767781,0.6423573730117113,liblinear
LR,education,l1,1000000.0,0.46078918614203235,0.0008729598537002443,0.0,0.0,6.362274169921875,0.2111322721657805,liblinear
LR,consumptionAbility,l2,1e-06,0.4793661529372571,0.0004316867691305911,,,4.729750951131185,0.3162427783779457,liblinear
LR,consumptionAbility,l2,0.001,0.4685255310507661,0.00016813556559455917,,,7.355750401814778,0.06766677643997748,liblinear
LR,consumptionAbility,l2,1.0,0.4685255310507661,0.00016813556559455917,,,7.421491940816243,0.013159016041087788,liblinear
LR,consumptionAbility,l2,1000.0,0.4685255310507661,0.00016813556559455917,,,7.815357605616252,0.23003106314190755,liblinear
LR,consumptionAbility,l2,1000000.0,0.4685255310507661,0.00016813556559455917,,,7.218747456868489,0.21810297598522407,liblinear
LR,consumptionAbility,l1,1e-06,0.5,0.0,3.0,0.0,3.351461092631022,0.3210662535988754,liblinear
LR,consumptionAbility,l1,0.001,0.4685255310507661,0.00016813556559455917,1.0,0.0,25.8708332379659,6.845626701264741,liblinear
LR,consumptionAbility,l1,1.0,0.4685255310507661,0.00016813556559455917,0.0,0.0,5.212108135223389,0.16606988209262502,liblinear
LR,consumptionAbility,l1,1000.0,0.4685255310507661,0.00016813556559455917,0.0,0.0,5.306491692860921,0.21032878305148114,liblinear
LR,consumptionAbility,l1,1000000.0,0.4685255310507661,0.00016813556559455917,0.0,0.0,6.028844594955444,0.7693678516335166,liblinear
LR,LBS,l2,1e-06,0.487476243380677,0.000698693476304214,,,3.5159995555877686,0.05846671392164328,liblinear
LR,LBS,l2,0.001,0.47378352926991907,0.0010837242166925206,,,6.4090133508046465,0.4576463822449886,liblinear
LR,LBS,l2,1.0,0.4727691010769833,0.0012120332134743957,,,30.281932433446247,3.370727627948757,liblinear
LR,LBS,l2,1000.0,0.47276417730082915,0.001201265740604675,,,111.58394312858582,39.53868819059656,liblinear
LR,LBS,l2,1000000.0,0.4727711948984518,0.0012039042036824988,,,107.38565397262573,15.6599779567983,liblinear
LR,LBS,l1,1e-06,0.5,0.0,856.0,0.0,3.7433253129323325,0.02389677935889397,liblinear
LR,LBS,l1,0.001,0.49780743758946455,4.5912892195569896e-05,855.0,0.0,5.876654624938965,0.17832625437395147,liblinear
LR,LBS,l1,1.0,0.47274933880895514,0.00123187707314655,423.3333333333333,6.236095644623236,265.3244767189026,74.1391681917416,liblinear
LR,LBS,l1,1000.0,0.47276322077535765,0.0012156879015833722,46.333333333333336,3.7712361663282534,6.200308958689372,0.3250103985042513,liblinear
LR,LBS,l1,1000000.0,0.47276308366702846,0.0012156690471200554,46.0,3.559026084010437,6.61252490679423,0.08777196544407581,liblinear
LR,carrier,l2,1e-06,0.4951227617925833,0.0004668710792849235,,,4.102443695068359,0.021537574839143862,liblinear
LR,carrier,l2,0.001,0.48045049540610046,0.0008187094442267232,,,5.591516574223836,0.010598269754984586,liblinear
LR,carrier,l2,1.0,0.48045049540610046,0.0008187094442267232,,,5.588732560475667,0.0025214599788591636,liblinear
LR,carrier,l2,1000.0,0.48045049540610046,0.0008187094442267232,,,6.463639100392659,0.32290305031889754,liblinear
LR,carrier,l2,1000000.0,0.48045049540610046,0.0008187094442267232,,,7.013346831003825,0.06019918614427074,liblinear
LR,carrier,l1,1e-06,0.5,0.0,4.0,0.0,2.8831737836201987,0.010782277091149676,liblinear
LR,carrier,l1,0.001,0.48045049540610046,0.0008187094442267232,1.0,0.0,21.35799479484558,4.833385468521389,liblinear
LR,carrier,l1,1.0,0.48045049540610046,0.0008187094442267232,0.0,0.0,3.8476106325785318,0.03458385844239225,liblinear
LR,carrier,l1,1000.0,0.48045049540610046,0.0008187094442267232,0.0,0.0,4.700366099675496,0.27299046429552803,liblinear
LR,carrier,l1,1000000.0,0.48045049540610046,0.0008187094442267232,0.0,0.0,5.5132373968760175,0.1645146051762801,liblinear
LR,house,l2,1e-06,0.5080095981889431,5.885103716071389e-05,,,4.034369945526123,0.02519936761243729,liblinear
LR,house,l2,0.001,0.49199040181105697,5.885103716071389e-05,,,4.83839225769043,0.007826998955143025,liblinear
LR,house,l2,1.0,0.49199040181105697,5.885103716071389e-05,,,4.812954584757487,0.022501084703640758,liblinear
LR,house,l2,1000.0,0.49199040181105697,5.885103716071389e-05,,,5.608628511428833,0.33301195150821467,liblinear
LR,house,l2,1000000.0,0.49199040181105697,5.885103716071389e-05,,,6.0660271644592285,0.00817813002873959,liblinear
LR,house,l1,1e-06,0.5,0.0,2.0,0.0,2.8517711957295737,0.021697518071473302,liblinear
LR,house,l1,0.001,0.49199040181105697,5.885103716071389e-05,1.0,0.0,31.904542684555054,18.45360479449748,liblinear
LR,house,l1,1.0,0.49199040181105697,5.885103716071389e-05,0.0,0.0,3.976562261581421,0.153668990108037,liblinear
LR,house,l1,1000.0,0.49199040181105697,5.885103716071389e-05,0.0,0.0,4.315295298894246,0.07563848391733646,liblinear
LR,house,l1,1000000.0,0.49199040181105697,5.885103716071389e-05,0.0,0.0,4.93269141515096,0.19945036108620903,liblinear
LR,marriageStatus,l2,1e-06,0.532797259249766,0.0004067904063333408,,,4.412626425425212,0.009532303574127833,liblinear
LR,marriageStatus,l2,0.001,0.4607833900524037,0.000864461895734612,,,6.881504774093628,0.009319205864831807,liblinear
LR,marriageStatus,l2,1.0,0.460333098044399,0.0007958207237740092,,,8.148386398951212,0.10178862021718084,liblinear
