[224]	train's auc: 0.778291	valid1's auc: 0.733672
[225]	train's auc: 0.778466	valid1's auc: 0.733708
[226]	train's auc: 0.778633	valid1's auc: 0.733716
[227]	train's auc: 0.778855	valid1's auc: 0.733726
[228]	train's auc: 0.778985	valid1's auc: 0.733747
[229]	train's auc: 0.779188	valid1's auc: 0.733807
[230]	train's auc: 0.77934	valid1's auc: 0.733824
[231]	train's auc: 0.779611	valid1's auc: 0.733851
[232]	train's auc: 0.779794	valid1's auc: 0.73383
[233]	train's auc: 0.780031	valid1's auc: 0.73384
[234]	train's auc: 0.780194	valid1's auc: 0.733848
[235]	train's auc: 0.780544	valid1's auc: 0.73401
[236]	train's auc: 0.780597	valid1's auc: 0.734
[237]	train's auc: 0.78066	valid1's auc: 0.733995
[238]	train's auc: 0.780731	valid1's auc: 0.733991
[239]	train's auc: 0.780997	valid1's auc: 0.733997
[240]	train's auc: 0.781132	valid1's auc: 0.733995
[241]	train's auc: 0.78122	valid1's auc: 0.73399
[242]	train's auc: 0.781354	valid1's auc: 0.733986
[243]	train's auc: 0.781473	valid1's auc: 0.734014
[244]	train's auc: 0.781619	valid1's auc: 0.734022
[245]	train's auc: 0.781752	valid1's auc: 0.734022
[246]	train's auc: 0.78193	valid1's auc: 0.734032
[247]	train's auc: 0.78208	valid1's auc: 0.734
[248]	train's auc: 0.782297	valid1's auc: 0.733981
[249]	train's auc: 0.782531	valid1's auc: 0.733971
[250]	train's auc: 0.782704	valid1's auc: 0.733975
[251]	train's auc: 0.782882	valid1's auc: 0.733966
[252]	train's auc: 0.782991	valid1's auc: 0.733969
[253]	train's auc: 0.783156	valid1's auc: 0.733959
[254]	train's auc: 0.783305	valid1's auc: 0.733969
[255]	train's auc: 0.783486	valid1's auc: 0.734013
[256]	train's auc: 0.783704	valid1's auc: 0.733989
[257]	train's auc: 0.784016	valid1's auc: 0.73414
[258]	train's auc: 0.784271	valid1's auc: 0.734112
[259]	train's auc: 0.784408	valid1's auc: 0.734125
[260]	train's auc: 0.78455	valid1's auc: 0.73412
[261]	train's auc: 0.784697	valid1's auc: 0.734132
[262]	train's auc: 0.784856	valid1's auc: 0.734125
[263]	train's auc: 0.785105	valid1's auc: 0.734138
[264]	train's auc: 0.785332	valid1's auc: 0.734144
[265]	train's auc: 0.785487	valid1's auc: 0.734144
[266]	train's auc: 0.785655	valid1's auc: 0.734143
[267]	train's auc: 0.785789	valid1's auc: 0.734143
[268]	train's auc: 0.785958	valid1's auc: 0.734129
[269]	train's auc: 0.786166	valid1's auc: 0.734143
[270]	train's auc: 0.786299	valid1's auc: 0.734144
[271]	train's auc: 0.78645	valid1's auc: 0.734146
[272]	train's auc: 0.786597	valid1's auc: 0.734143
[273]	train's auc: 0.786635	valid1's auc: 0.73414
[274]	train's auc: 0.786811	valid1's auc: 0.73417
[275]	train's auc: 0.787019	valid1's auc: 0.734191
[276]	train's auc: 0.787178	valid1's auc: 0.73423
[277]	train's auc: 0.787309	valid1's auc: 0.734253
[278]	train's auc: 0.78748	valid1's auc: 0.734239
[279]	train's auc: 0.787635	valid1's auc: 0.734218
[280]	train's auc: 0.787726	valid1's auc: 0.734211
[281]	train's auc: 0.787834	valid1's auc: 0.734194
[282]	train's auc: 0.788004	valid1's auc: 0.734202
[283]	train's auc: 0.788125	valid1's auc: 0.734188
[284]	train's auc: 0.788233	valid1's auc: 0.734178
[285]	train's auc: 0.788391	valid1's auc: 0.734165
[286]	train's auc: 0.788466	valid1's auc: 0.734171
[287]	train's auc: 0.788547	valid1's auc: 0.734145
[288]	train's auc: 0.78866	valid1's auc: 0.734189
[289]	train's auc: 0.788854	valid1's auc: 0.734199
[290]	train's auc: 0.78907	valid1's auc: 0.734203
