[89]	train's auc: 0.726826	train's online_auc: 0.722128	valid's auc: 0.720211	valid's online_auc: 0.713492
[90]	train's auc: 0.727036	train's online_auc: 0.722249	valid's auc: 0.720344	valid's online_auc: 0.71354
[91]	train's auc: 0.727141	train's online_auc: 0.72235	valid's auc: 0.720429	valid's online_auc: 0.713587
[92]	train's auc: 0.727308	train's online_auc: 0.722472	valid's auc: 0.720538	valid's online_auc: 0.713619
[93]	train's auc: 0.727518	train's online_auc: 0.722748	valid's auc: 0.720721	valid's online_auc: 0.71371
[94]	train's auc: 0.72772	train's online_auc: 0.722913	valid's auc: 0.720786	valid's online_auc: 0.713765
[95]	train's auc: 0.727909	train's online_auc: 0.723053	valid's auc: 0.72093	valid's online_auc: 0.713916
[96]	train's auc: 0.728013	train's online_auc: 0.723141	valid's auc: 0.721004	valid's online_auc: 0.713992
[97]	train's auc: 0.72835	train's online_auc: 0.723586	valid's auc: 0.721299	valid's online_auc: 0.714321
[98]	train's auc: 0.72853	train's online_auc: 0.723741	valid's auc: 0.721421	valid's online_auc: 0.714457
[99]	train's auc: 0.72876	train's online_auc: 0.723997	valid's auc: 0.721545	valid's online_auc: 0.71456
[100]	train's auc: 0.728906	train's online_auc: 0.724187	valid's auc: 0.721579	valid's online_auc: 0.714644
[101]	train's auc: 0.729259	train's online_auc: 0.724424	valid's auc: 0.72179	valid's online_auc: 0.71475
[102]	train's auc: 0.729695	train's online_auc: 0.724678	valid's auc: 0.722187	valid's online_auc: 0.714956
[103]	train's auc: 0.729776	train's online_auc: 0.724769	valid's auc: 0.722208	valid's online_auc: 0.714967
[104]	train's auc: 0.730215	train's online_auc: 0.725172	valid's auc: 0.722492	valid's online_auc: 0.715396
[105]	train's auc: 0.73036	train's online_auc: 0.725327	valid's auc: 0.722584	valid's online_auc: 0.715463
[106]	train's auc: 0.730445	train's online_auc: 0.725431	valid's auc: 0.722624	valid's online_auc: 0.715502
[107]	train's auc: 0.730622	train's online_auc: 0.725758	valid's auc: 0.722732	valid's online_auc: 0.715632
[108]	train's auc: 0.730723	train's online_auc: 0.725838	valid's auc: 0.722759	valid's online_auc: 0.715685
[109]	train's auc: 0.730927	train's online_auc: 0.72609	valid's auc: 0.722867	valid's online_auc: 0.715927
[110]	train's auc: 0.731097	train's online_auc: 0.72631	valid's auc: 0.722964	valid's online_auc: 0.716041
[111]	train's auc: 0.731192	train's online_auc: 0.726405	valid's auc: 0.722999	valid's online_auc: 0.716023
[112]	train's auc: 0.731299	train's online_auc: 0.726514	valid's auc: 0.723045	valid's online_auc: 0.716038
[113]	train's auc: 0.731428	train's online_auc: 0.726639	valid's auc: 0.723086	valid's online_auc: 0.716084
[114]	train's auc: 0.731618	train's online_auc: 0.727003	valid's auc: 0.723254	valid's online_auc: 0.716438
[115]	train's auc: 0.731769	train's online_auc: 0.727114	valid's auc: 0.723319	valid's online_auc: 0.716458
[116]	train's auc: 0.731942	train's online_auc: 0.727275	valid's auc: 0.723414	valid's online_auc: 0.716589
[117]	train's auc: 0.732033	train's online_auc: 0.727389	valid's auc: 0.723454	valid's online_auc: 0.716645
[118]	train's auc: 0.732141	train's online_auc: 0.72754	valid's auc: 0.723524	valid's online_auc: 0.716726
[119]	train's auc: 0.732315	train's online_auc: 0.727658	valid's auc: 0.723616	valid's online_auc: 0.716769
[120]	train's auc: 0.732534	train's online_auc: 0.727877	valid's auc: 0.723766	valid's online_auc: 0.716893
[121]	train's auc: 0.732635	train's online_auc: 0.728007	valid's auc: 0.723798	valid's online_auc: 0.716907
[122]	train's auc: 0.732733	train's online_auc: 0.728111	valid's auc: 0.723841	valid's online_auc: 0.716936
[123]	train's auc: 0.732875	train's online_auc: 0.728256	valid's auc: 0.723958	valid's online_auc: 0.717127
[124]	train's auc: 0.733006	train's online_auc: 0.728355	valid's auc: 0.724005	valid's online_auc: 0.717211
[125]	train's auc: 0.733252	train's online_auc: 0.728698	valid's auc: 0.724145	valid's online_auc: 0.717413
[126]	train's auc: 0.733393	train's online_auc: 0.728802	valid's auc: 0.724236	valid's online_auc: 0.71744
[127]	train's auc: 0.73351	train's online_auc: 0.728878	valid's auc: 0.724288	valid's online_auc: 0.717467
[128]	train's auc: 0.733605	train's online_auc: 0.72902	valid's auc: 0.724277	valid's online_auc: 0.717435
[129]	train's auc: 0.733649	train's online_auc: 0.729079	valid's auc: 0.724266	valid's online_auc: 0.717466
[130]	train's auc: 0.733795	train's online_auc: 0.729335	valid's auc: 0.724295	valid's online_auc: 0.717664
[131]	train's auc: 0.734093	train's online_auc: 0.729654	valid's auc: 0.724553	valid's online_auc: 0.717978
[132]	train's auc: 0.734482	train's online_auc: 0.730202	valid's auc: 0.72475	valid's online_auc: 0.718305
[133]	train's auc: 0.734608	train's online_auc: 0.730342	valid's auc: 0.724886	valid's online_auc: 0.718493
[134]	train's auc: 0.734737	train's online_auc: 0.730425	valid's auc: 0.724948	valid's online_auc: 0.718522
[135]	train's auc: 0.734786	train's online_auc: 0.730484	valid's auc: 0.724954	valid's online_auc: 0.718545
[136]	train's auc: 0.734895	train's online_auc: 0.730587	valid's auc: 0.724967	valid's online_auc: 0.718541
[137]	train's auc: 0.735041	train's online_auc: 0.730826	valid's auc: 0.725084	valid's online_auc: 0.718673
[138]	train's auc: 0.735193	train's online_auc: 0.730985	valid's auc: 0.725092	valid's online_auc: 0.718755
[139]	train's auc: 0.735578	train's online_auc: 0.731261	valid's auc: 0.725311	valid's online_auc: 0.718846
[140]	train's auc: 0.735658	train's online_auc: 0.731412	valid's auc: 0.725363	valid's online_auc: 0.718882
[141]	train's auc: 0.73586	train's online_auc: 0.731565	valid's auc: 0.725451	valid's online_auc: 0.718936
[142]	train's auc: 0.735961	train's online_auc: 0.731698	valid's auc: 0.725497	valid's online_auc: 0.719022
[143]	train's auc: 0.736072	train's online_auc: 0.73182	valid's auc: 0.725554	valid's online_auc: 0.719143
[144]	train's auc: 0.736184	train's online_auc: 0.731922	valid's auc: 0.725589	valid's online_auc: 0.719194
[145]	train's auc: 0.736331	train's online_auc: 0.732063	valid's auc: 0.725623	valid's online_auc: 0.719263
[146]	train's auc: 0.736535	train's online_auc: 0.732559	valid's auc: 0.725731	valid's online_auc: 0.719537
[147]	train's auc: 0.736713	train's online_auc: 0.732676	valid's auc: 0.72583	valid's online_auc: 0.719543
[148]	train's auc: 0.73687	train's online_auc: 0.732806	valid's auc: 0.72589	valid's online_auc: 0.719611
[149]	train's auc: 0.736951	train's online_auc: 0.732887	valid's auc: 0.725924	valid's online_auc: 0.71966
[150]	train's auc: 0.737044	train's online_auc: 0.733048	valid's auc: 0.725959	valid's online_auc: 0.719682
[151]	train's auc: 0.737217	train's online_auc: 0.733118	valid's auc: 0.726027	valid's online_auc: 0.719735
[152]	train's auc: 0.737376	train's online_auc: 0.733222	valid's auc: 0.726086	valid's online_auc: 0.719802
[153]	train's auc: 0.737423	train's online_auc: 0.733254	valid's auc: 0.7261	valid's online_auc: 0.719812
[154]	train's auc: 0.737517	train's online_auc: 0.73331	valid's auc: 0.726109	valid's online_auc: 0.719832
