auc,init_stdev,l2_reg_V,l2_reg_w,n_iter,rank,step_size
0.6814008167414591,0.001,0.57,1e-05,1680985,25,0.002035
0.6760018142260787,0.001,0.57,1e-05,1014013,25,0.0008953
0.6302206273372501,0.001,0.57,1e-05,20897,25,0.0100045
0.6280943101943087,0.001,0.57,1e-05,21054,25,0.0103307
0.6274799203711755,0.001,0.57,1e-05,23384,25,0.0105204
0.6245069957842219,0.001,0.57,1e-05,21911,25,0.0105979
0.6230429793342945,0.001,0.57,1e-05,23910,25,0.0106448
0.6211096097131806,0.001,0.57,1e-05,17917,25,0.0182903
0.6204743859155782,0.001,0.57,1e-05,13381,25,0.0149425
0.6199409743979967,0.001,0.57,1e-05,10068,25,0.0225295
0.6197034534091148,0.001,0.57,1e-05,13526,25,0.0123767
0.6194718370913668,0.001,0.57,1e-05,16008,25,0.0267668
0.6185901273163951,0.001,0.57,1e-05,20612,25,0.0146861
0.6175515885003671,0.001,0.57,1e-05,7100,25,0.0113894
0.6171389122195695,0.001,0.57,1e-05,11104,25,0.0115734
0.6156711044649237,0.001,0.57,1e-05,24747,25,0.0175897
0.6149475199226638,0.001,0.57,1e-05,7597,25,0.0101562
0.6127890374083738,0.001,0.57,1e-05,18909,25,0.0320737
0.6093186393646729,0.001,0.57,1e-05,8050,25,0.0336997
0.6091447921040402,0.001,0.57,1e-05,11704,25,0.0134159
0.6088346685750611,0.001,0.57,1e-05,24409,25,0.0162705
0.6077053329509239,0.001,0.57,1e-05,9680,25,0.0523114
0.6069986720526744,0.001,0.57,1e-05,6764,25,0.0206881
0.6059081644016701,0.001,0.5746246,1e-05,10148,25,0.05
0.6056812449645368,0.001,0.57,1e-05,10058,25,0.0605273
0.6044871115265241,0.001,0.4186098,1e-05,10247,25,0.05
0.6044478214613632,0.001,0.57,1e-05,6082,25,0.0174479
0.6043841909753374,0.001,0.552016,1e-05,10177,25,0.05
0.6030144733382862,0.001,0.57,1e-05,5834,25,0.02571
0.6021571317302116,0.001,0.6277135,1e-05,9518,25,0.05
0.602012497724613,0.001,0.4004539,1e-05,10280,25,0.05
0.6017453570999861,0.001,0.57,1e-05,8532,25,0.0133965
0.6013983315671764,0.001,0.5773765,1e-05,7987,25,0.05
0.6009784290256793,0.001,0.4613201,1e-05,10425,25,0.05
0.6007640704713189,0.0010264,1.1,1e-05,10000,50,0.05
0.6007638794388603,0.0010383,1.1,1e-05,10000,50,0.05
0.6007634415141001,0.0010668,1.1,1e-05,10000,50,0.05
0.600763150481348,0.0010851,1.1,1e-05,10000,50,0.05
0.6007630900596415,0.0010883,1.1,1e-05,10000,50,0.05
0.6007567740074283,0.0014241,1.1,1e-05,10000,50,0.05
0.6007552594899319,0.0014944,1.1,1e-05,10000,50,0.05
0.6007431766126649,0.0019413,1.1,1e-05,10000,50,0.05
0.6007388855328033,0.0020675,1.1,1e-05,10000,50,0.05
0.6007042162323251,0.0027426,1.1,1e-05,10000,50,0.05
0.6006809372404208,0.0030157,1.1,1e-05,10000,50,0.05
0.6006784260370639,0.0030411,1.1,1e-05,10000,50,0.05
0.6006701703299576,0.001,0.57,1e-05,11762,25,0.019538
0.6005742883948146,0.0041922,1.1,1e-05,10000,50,0.05
0.6004865807322078,0.001,0.5991715,1e-05,10636,25,0.05
0.6004109975340897,0.0050871,1.1,1e-05,10000,50,0.05
0.6003900192420597,0.006111,1.1,1e-05,10000,50,0.05
0.6002386328366903,0.0082488,1.1,1e-05,10000,50,0.05
0.6000944928632376,0.01,0.959003,1.04e-05,9997,50,0.05
0.5999963550052099,0.0109952,1.1,1e-05,10000,50,0.05
0.5999584308468818,0.01,0.96,1e-07,10000,50,0.05
0.5999584168783847,0.01,0.96,2e-07,10000,50,0.05
0.5999583662381625,0.01,0.96,6e-07,10000,50,0.05
