auc,init_stdev,l2_reg,l2_reg_V,l2_reg_w,n_iter,random_state,rank,step_size
0.559191,0.001366,,0.0001577,1.67e-05,2754,123,83,0.0714113
0.559132,0.0194533,,2.56e-05,0.0001019,9510,123,14,0.0123586
0.559104,0.0136615,,0.1253866,1.87e-05,691,123,7,0.2966491
0.559091,0.002503,,0.179588,2.29e-05,2336,123,255,0.1177211
0.559084,0.0011368,,0.0357082,0.0002243,2362,123,58,0.0953726
0.558856,0.0053614,,1.74e-05,7.67e-05,3995,123,13,0.0152146
0.558849,0.0356375,,0.0682847,0.0657228,4381,123,65,0.020419
0.558833,0.0046592,,0.0001511,1.84e-05,9970,123,147,0.0989607
0.55882,0.0012551,,0.0258137,4.65e-05,2339,123,101,0.1200637
0.558811,0.0263394,,29.4161956,0.0725376,3179,123,61,0.0100102
0.558771,0.0860658,,15.1246738,0.1236835,3311,123,75,0.0158768
0.55875,0.2256401,,1.8949456,0.0090838,4809,123,375,0.0281871
0.558698,0.003021,,0.0002018,3.24e-05,965,123,357,0.0797101
0.558686,0.0377068,,2.32e-05,5.43e-05,7953,123,14,0.0100325
0.558491,0.0776075,,0.0003092,0.0142883,3132,123,2,0.0185219
0.558482,0.0552037,,1.9e-05,0.0047335,4049,123,32,0.0115626
0.558409,0.0266803,,0.0005181,0.0012011,6408,123,12,0.0118951
0.558345,0.00318,,5.1e-05,0.0004605,9915,123,52,0.050475
0.558339,0.0962794,,25.558818,0.0595258,2575,123,122,0.0408076
0.558207,0.002316,,0.028519,0.0007846,2694,123,57,0.035766
0.558141,0.0067386,,1e-05,0.0533228,9989,123,1,0.0376939
0.557999,0.0204173,,1.8e-05,0.0006933,9666,123,11,0.0106972
0.557995,0.0151458,,2.97e-05,0.0002777,8683,123,3,0.0195579
0.55794,0.0040414,,0.0003495,0.0003032,7242,123,48,0.0336031
0.55794,0.0658636,,0.0001095,0.0544631,8737,123,23,0.0265466
0.557797,0.0019458,,1.58e-05,0.0036563,2074,123,103,0.1393388
0.557682,0.0394713,,3.0092749,6.39e-05,3383,123,317,0.0191595
0.557673,0.039642,,0.0006394,0.0009516,3840,123,8,0.0133081
0.557438,0.0349205,,0.0002124,0.0928838,2684,123,4,0.0172263
0.557366,0.0969146,,0.0008655,0.0321456,4349,123,6,0.020284
0.55726,0.0067957,,0.0001047,1.64e-05,2543,123,260,0.0773587
0.557203,0.0059027,,2.58e-05,0.0001309,6306,123,9,0.0144253
0.557154,0.0032794,,0.0001016,3.72e-05,3767,123,71,0.0956035
0.557149,0.1616044,,0.5279839,0.0042952,5501,123,74,0.0164784
0.557111,0.0032176,,1.03e-05,0.0006813,2499,123,631,0.0300776
0.557074,0.1441181,,1.0174617,0.005607,4359,123,7,0.0532085
0.556978,0.0023247,,0.0180539,6.02e-05,2596,123,103,0.1347488
0.556916,0.0395698,,4.5357326,0.1803815,4988,123,7,0.0196477
0.556899,0.0160453,,1.29e-05,0.000179,6904,123,10,0.0141322
0.556833,0.024895,,0.0004172,1.62e-05,2911,123,20,0.0174183
